,Year,State,Length,Value,Type_1,Type_2,Expense_1,Expense_2
192,2013.0,Mississippi,4-year,7436.0,Public,In-State,Room,Board
193,2013.0,Mississippi,2-year,4284.0,Public,Out-of-State,Fees,Tuition
194,2013.0,Mississippi,4-year,15055.0,Public,Out-of-State,Fees,Tuition
195,2013.0,Mississippi,4-year,7436.0,Public,Out-of-State,Room,Board
196,2013.0,Missouri,4-year,19020.0,Private,,Fees,Tuition
197,2013.0,Missouri,4-year,8595.0,Private,,Room,Board
198,2013.0,Missouri,2-year,2716.0,Public,In-State,,Tuition
199,2013.0,Missouri,4-year,7815.0,Public,In-State,Fees,Tuition
200,2013.0,Missouri,4-year,8421.0,Public,In-State,Room,Board
201,2013.0,Missouri,2-year,5384.0,Public,Out-of-State,Fees,Tuition
202,2013.0,Missouri,4-year,18885.0,Public,Out-of-State,Fees,Tuition
203,2013.0,Missouri,4-year,8421.0,Public,Out-of-State,Room,Board
204,2013.0,Montana,4-year,19737.0,Private,,Fees,Tuition
205,2013.0,Montana,4-year,7584.0,Private,,Room,Board
206,2013.0,Montana,2-year,3151.0,Public,In-State,Fees,Tuition
207,2013.0,Montana,4-year,6267.0,Public,In-State,Fees,Tuition
208,2013.0,Montana,4-year,7306.0,Public,In-State,Room,Board
209,2013.0,Montana,2-year,8351.0,Public,Out-of-State,,Tuition
210,2013.0,Montana,4-year,20164.0,Public,Out-of-State,Fees,Tuition
211,2013.0,Montana,4-year,7306.0,Public,Out-of-State,Room,Board
212,2013.0,Nebraska,4-year,19478.0,Private,,Fees,Tuition
213,2013.0,Nebraska,4-year,7733.0,Private,,Room,Board
214,2013.0,Nebraska,2-year,2594.0,Public,In-State,Fees,Tuition
215,2013.0,Nebraska,4-year,7023.0,Public,In-State,Fees,Tuition
216,2013.0,Nebraska,4-year,8268.0,Public,In-State,Room,Board
217,2013.0,Nebraska,2-year,3415.0,Public,Out-of-State,Fees,Tuition
218,2013.0,Nebraska,4-year,16702.0,Public,Out-of-State,Fees,Tuition
219,2013.0,Nebraska,4-year,8268.0,Public,Out-of-State,Room,Board
220,2013.0,Nevada,4-year,16108.0,Private,,Fees,Tuition
221,2013.0,Nevada,4-year,21602.0,Private,,Room,Board
222,2013.0,Nevada,2-year,2700.0,Public,In-State,Fees,Tuition
223,2013.0,Nevada,4-year,4953.0,Public,In-State,Fees,Tuition
224,2013.0,Nevada,4-year,10991.0,Public,In-State,Room,Board
225,2013.0,Nevada,2-year,9345.0,Public,Out-of-State,Fees,Tuition
226,2013.0,Nevada,4-year,19156.0,Public,Out-of-State,Fees,Tuition
227,2013.0,Nevada,4-year,10991.0,Public,Out-of-State,Room,Board
228,2013.0,New Hampshire,4-year,30202.0,Private,,Fees,Tuition
229,2013.0,New Hampshire,4-year,12107.0,Private,,Room,Board
230,,,,,,,,
231,2013.0,New Hampshire,4-year,14435.0,Public,In-State,Fees,Tuition
232,2013.0,New Hampshire,4-year,10270.0,Public,In-State,Room,Board
233,2013.0,New Hampshire,2-year,15697.0,Public,Out-of-State,Fees,Tuition
234,2013.0,New Hampshire,4-year,24945.0,Public,Out-of-State,Fees,Tuition
235,,,,,,,,
236,2013.0,New Jersey,4-year,31195.0,Private,,Fees,Tuition
237,2013.0,New Jersey,4-year,11636.0,Private,,Room,Board
238,2013.0,New Jersey,2-year,3782.0,Public,In-State,,Tuition
239,2013.0,New Jersey,4-year,11955.0,Public,In-State,Fees,Tuition
240,2013.0,New Jersey,4-year,11819.0,Public,In-State,Room,Board
241,2013.0,New Jersey,2-year,6591.0,Public,Out-of-State,,Tuition
242,,,,,,,,
243,2013.0,New Jersey,4-year,11819.0,Public,Out-of-State,Room,Board
244,2013.0,New Mexico,4-year,16256.0,Private,,Fees,Tuition
245,2013.0,New Mexico,4-year,8889.0,Private,,Room,Board
246,2013.0,New Mexico,2-year,1399.0,Public,In-State,Fees,Tuition
247,2013.0,New Mexico,4-year,5483.0,Public,In-State,Fees,Tuition
248,2013.0,New Mexico,4-year,7742.0,Public,In-State,Room,Board
249,2013.0,New Mexico,2-year,4558.0,Public,Out-of-State,Fees,Tuition
250,2013.0,New Mexico,4-year,14327.0,Public,Out-of-State,Fees,Tuition
251,2013.0,New Mexico,4-year,7742.0,Public,Out-of-State,Room,Board
252,,,,,,,,
253,2013.0,New York,4-year,12901.0,Private,,Room,Board
254,2013.0,New York,2-year,4331.0,Public,In-State,Fees,Tuition
255,2013.0,New York,4-year,6556.0,Public,In-State,Fees,Tuition
256,2013.0,New York,4-year,11841.0,Public,In-State,Room,Board
257,2013.0,New York,2-year,7827.0,Public,Out-of-State,Fees,Tuition
258,2013.0,New York,4-year,15751.0,Public,Out-of-State,Fees,Tuition
259,2013.0,New York,4-year,11841.0,Public,Out-of-State,Room,Board
260,2013.0,North Carolina,4-year,26336.0,Private,,Fees,Tuition
261,2013.0,North Carolina,4-year,9858.0,Private,,Room,Board
262,2013.0,North Carolina,2-year,2212.0,Public,In-State,Fees,Tuition
263,2013.0,North Carolina,4-year,6223.0,Public,In-State,Fees,Tuition
264,2013.0,North Carolina,4-year,8291.0,Public,In-State,Room,Board
265,2013.0,North Carolina,2-year,8171.0,Public,Out-of-State,,Tuition
266,,,,,,,,
267,2013.0,North Carolina,4-year,8291.0,Public,Out-of-State,Room,Board
268,2013.0,North Dakota,4-year,12318.0,Private,,Fees,Tuition
269,9999.0,North Dakota,4-year,5424.0,Private,,Room,Board
270,2013.0,North Dakota,2-year,4048.0,Public,In-State,Fees,Tuition
271,2013.0,North Dakota,4-year,6572.0,Public,In-State,Fees,Tuition
272,2013.0,North Dakota,4-year,6639.0,Public,In-State,Room,Board
273,2013.0,North Dakota,2-year,8216.0,Public,Out-of-State,,Tuition
274,2013.0,North Dakota,4-year,16170.0,Public,Out-of-State,Fees,Tuition
275,,,,,,,,
276,2013.0,Ohio,4-year,25756.0,Private,,Fees,Tuition
277,2013.0,Ohio,4-year,9612.0,Private,,Room,Board
278,2013.0,Ohio,2-year,3480.0,Public,In-State,Fees,Tuition
279,,,,,,,,
280,2013.0,Ohio,4-year,10152.0,Public,In-State,Room,Board
281,2013.0,Ohio,2-year,7421.0,Public,Out-of-State,Fees,Tuition
282,2013.0,Ohio,4-year,21683.0,Public,Out-of-State,Fees,Tuition
283,2013.0,Ohio,4-year,10152.0,Public,Out-of-State,Room,Board
284,,,,,,,,
285,2013.0,Oklahoma,4-year,8658.0,Private,,Room,Board
286,2013.0,Oklahoma,2-year,2904.0,Public,In-State,,Tuition
287,2013.0,Oklahoma,4-year,5882.0,Public,In-State,Fees,Tuition
288,2013.0,Oklahoma,4-year,7123.0,Public,In-State,Room,Board
289,2013.0,Oklahoma,2-year,7101.0,Public,Out-of-State,Fees,Tuition
290,2013.0,Oklahoma,4-year,16543.0,Public,Out-of-State,Fees,Tuition
291,9999.0,Oklahoma,4-year,7123.0,Public,Out-of-State,Room,Board
292,2013.0,Oregon,4-year,30195.0,Private,,Fees,Tuition
293,2013.0,Oregon,4-year,10460.0,Private,,Room,Board
294,2013.0,Oregon,2-year,3752.0,Public,In-State,Fees,Tuition
295,,,,,,,,
296,2013.0,Oregon,4-year,10232.0,Public,In-State,Room,Board
297,2013.0,Oregon,2-year,7689.0,Public,Out-of-State,Fees,Tuition
298,,,,,,,,
299,2013.0,Oregon,4-year,10232.0,Public,Out-of-State,Room,Board
300,,,,,,,,
301,2013.0,Pennsylvania,4-year,11459.0,Private,,Room,Board
302,,,,,,,,
303,2013.0,Pennsylvania,4-year,12184.0,Public,In-State,Fees,Tuition
304,9999.0,Pennsylvania,4-year,9453.0,Public,In-State,Room,Board
305,2013.0,Pennsylvania,2-year,11009.0,Public,Out-of-State,Fees,Tuition
306,2013.0,Pennsylvania,4-year,22891.0,Public,Out-of-State,Fees,Tuition
307,2013.0,Pennsylvania,4-year,9453.0,Public,Out-of-State,,Board
308,2013.0,Rhode Island,4-year,33940.0,Private,,Fees,Tuition
309,2013.0,Rhode Island,4-year,9999999.0,Private,,Room,Board
310,2013.0,Rhode Island,2-year,3950.0,Public,In-State,Fees,Tuition
311,2013.0,Rhode Island,4-year,10817.0,Public,In-State,Fees,Tuition
312,2013.0,Rhode Island,4-year,10765.0,Public,In-State,,Board
313,2013.0,Rhode Island,2-year,9999999.0,Public,Out-of-State,,Tuition
314,2013.0,Rhode Island,4-year,26762.0,Public,Out-of-State,Fees,Tuition
315,2013.0,Rhode Island,4-year,10765.0,Public,Out-of-State,Room,Board
316,2013.0,SC,4-year,20990.0,Private,,Fees,Tuition
317,,,,,,,,
318,2013.0,SC,2-year,3820.0,Public,In-State,Fees,Tuition
319,2013.0,SC,4-year,10691.0,Public,In-State,Fees,Tuition
320,2013.0,SC,4-year,7964.0,Public,In-State,Room,Board
321,2013.0,SC,2-year,7910.0,Public,Out-of-State,Fees,Tuition
322,2013.0,SC,4-year,26042.0,Public,Out-of-State,Fees,Tuition
323,2013.0,SC,4-year,7964.0,Public,Out-of-State,Room,Board
324,2013.0,South Dakota,4-year,18843.0,Private,,,Tuition
325,2013.0,South Dakota,4-year,6953.0,Private,,,Board
326,2013.0,South Dakota,2-year,5066.0,Public,In-State,Fees,Tuition
327,2013.0,South Dakota,4-year,7413.0,Public,In-State,Fees,Tuition
328,2013.0,South Dakota,4-year,6445.0,Public,In-State,Room,Board
329,2013.0,South Dakota,2-year,5261.0,Public,Out-of-State,Fees,Tuition
330,2013.0,South Dakota,4-year,9654.0,Public,Out-of-State,Fees,Tuition
331,2013.0,South Dakota,4-year,6445.0,Public,Out-of-State,Room,Board
